specialty,filename,title,content_types,has_citations,citation_count,word_count,file_size_kb,last_modified,file_path
Ethics_Communication,01_Communication_Skills_Role_Play_Scripts.md,Ethics & Communication OSCE - Role-Play Scripts,"History Taking, Physical Examination, Communication, Counseling, OSCE Station",False,0,4227,24.64,2025-12-28,ICRP_OSCE_Preparation/Ethics_Communication/01_Communication_Skills_Role_Play_Scripts.md
Ethics_Communication,02_Breaking_Bad_News_Additional_Scenarios.md,Breaking Bad News - Additional Scenarios,"Communication, Counseling, Differentials",False,6,5139,31.23,2025-12-28,ICRP_OSCE_Preparation/Ethics_Communication/02_Breaking_Bad_News_Additional_Scenarios.md
Ethics_Communication,03_Breaking_Bad_News_Additional_Scenarios_Part2.md,Breaking Bad News - Additional Scenarios (Part 2),"Communication, Counseling, Differentials",False,3,6207,37.41,2025-12-28,ICRP_OSCE_Preparation/Ethics_Communication/03_Breaking_Bad_News_Additional_Scenarios_Part2.md
Ethics_Communication,04_Comprehensive_Emotional_Reactions_Handbook.md,Comprehensive Emotional Reactions Handbook,"Communication, Counseling, OSCE Station",False,8,8439,51.04,2025-12-28,ICRP_OSCE_Preparation/Ethics_Communication/04_Comprehensive_Emotional_Reactions_Handbook.md
Ethics_Communication,05_Cultural_Variations_Breaking_Bad_News_Australia.md,Cultural Variations in Breaking Bad News,"History Taking, Physical Examination, Communication, OSCE Station",False,17,7036,45.07,2025-12-28,ICRP_OSCE_Preparation/Ethics_Communication/05_Cultural_Variations_Breaking_Bad_News_Australia.md
Ethics_Communication,06_IMG_Common_Mistakes_Breaking_Bad_News.md,IMG Common Mistakes in Breaking Bad News,"Communication, OSCE Station",False,7,4921,30.37,2025-12-28,ICRP_OSCE_Preparation/Ethics_Communication/06_IMG_Common_Mistakes_Breaking_Bad_News.md
Medicine,01_Cardiovascular_Respiratory_History.md,Medicine OSCE Master Notes - Cardiovascular & Respiratory,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,3057,20.72,2025-12-28,ICRP_OSCE_Preparation/Medicine/01_Cardiovascular_Respiratory_History.md
Medicine,01_GI_Abdominal_Pain_Differentials.md,Abdominal Pain: Differential Diagnosis and Management,"History Taking, Physical Examination, Differentials, OSCE Station",False,0,5588,48.58,2025-12-29,ICRP_OSCE_Preparation/Medicine/01_GI_Abdominal_Pain_Differentials.md
Medicine,02_GI_Bleeding_Differentials.md,Gastrointestinal Bleeding: Differential Diagnosis and Management,"History Taking, Physical Examination, Communication, Differentials, OSCE Station",False,0,8079,57.3,2026-01-12,ICRP_OSCE_Preparation/Medicine/02_GI_Bleeding_Differentials.md
Medicine,02_Physical_Examination_Cardiovascular_Respiratory.md,Physical Examination OSCE Notes - Cardiovascular & Respiratory,"History Taking, Physical Examination, OSCE Station",False,0,3573,23.65,2026-01-12,ICRP_OSCE_Preparation/Medicine/02_Physical_Examination_Cardiovascular_Respiratory.md
