ID,Specialty,Subcategory,Topic,Subtopic,Search_Term_1,Search_Term_2,Search_Term_3,Search_Term_4,Image_Types,AMC_Relevance,Priority,Folder_Path
1,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Stemi Anterior,anterior ST elevation myocardial infarction ECG,anterior STEMI electrocardiogram,LAD occlusion ECG,anterior wall MI ECG,"ECG, chest_xray",5,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/stemi_anterior
2,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Stemi Inferior,inferior ST elevation myocardial infarction ECG,inferior STEMI electrocardiogram,RCA occlusion ECG,inferior wall MI ECG,ECG,5,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/stemi_inferior
3,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Stemi Lateral,lateral ST elevation myocardial infarction ECG,lateral STEMI electrocardiogram,circumflex occlusion ECG,lateral wall MI ECG,ECG,5,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/stemi_lateral
4,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Stemi Posterior,posterior ST elevation myocardial infarction ECG,posterior STEMI electrocardiogram,posterior wall MI ECG,ST depression V1-V3,ECG,4,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/stemi_posterior
5,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Stemi Right Ventricular,right ventricular STEMI ECG,RV infarction ECG,V4R ST elevation,right sided MI ECG,ECG,4,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/stemi_right_ventricular
6,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Nstemi,non ST elevation myocardial infarction ECG,NSTEMI electrocardiogram,troponin positive MI,dynamic ST changes,ECG,5,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/nstemi
7,Cardiology,Ischemic Heart Disease,Acute Coronary Syndrome,Unstable Angina,unstable angina ECG,crescendo angina electrocardiogram,rest angina ECG,dynamic ischemia ECG,ECG,4,HIGH,cardiology/ischemic_heart_disease/acute_coronary_syndrome/unstable_angina
8,Cardiology,Ischemic Heart Disease,Chronic Ischemia,Stable Angina,stable angina ECG,exertional angina electrocardiogram,exercise induced ischemia,chronic stable angina,"ECG, stress_test",5,HIGH,cardiology/ischemic_heart_disease/chronic_ischemia/stable_angina
9,Cardiology,Ischemic Heart Disease,Chronic Ischemia,Silent Ischemia,silent ischemia ECG,asymptomatic ischemia,painless MI ECG,,ECG,3,HIGH,cardiology/ischemic_heart_disease/chronic_ischemia/silent_ischemia
10,Cardiology,Ischemic Heart Disease,Chronic Ischemia,Ischemic Cardiomyopathy,ischemic cardiomyopathy echocardiogram,post MI heart failure,ischemic CMP imaging,,"echocardiogram, MRI",3,HIGH,cardiology/ischemic_heart_disease/chronic_ischemia/ischemic_cardiomyopathy
